"Id","providerId","providerName","nameZh","nameEn","pathAttributeId","pathAttributeName","pathAttributeEname","buildPeriod","departureZh","departureEn","destinationZh","destinationEn","realSequence","distance","goFirstBusTime","backFirstBusTime","goLastBusTime","backLastBusTime","peakHeadway","holidayHeadwayDesc","offPeakHeadway","busTimeDesc","holidayGoFirstBusTime","holidayBackFirstBusTime","holidayGoLastBusTime","holidayBackLastBusTime","holidayBusTimeDesc","headwayDesc","holidayPeakHeadway","holidayOffPeakHeadway","segmentBufferZh","segmentBufferEn","ticketPriceDescriptionZh","ticketPriceDescriptionEn"
"16586","16176","臺北客運","藍46","BL46","157634","藍46(新北市)","BL46","10","二鬮","Two lots","捷運永寧站","MRT Yongning Station","99","99","0550","0550","2140","2140","","","","","0630","0630","2030","2030","","","","","","","一段票","1 segments"
"16515","16179","三重客運","858","858","157550","858(新北市)","858","10","樹林","Forest","林口長庚醫院","Chang Gung Memorial Hospital","99","99","0450","0450","2100","2100","1015","","1520","","0450","0450","2100","2100","","","","","往程：丹鳳ㄧ-黎明技術學院 返程：捷運丹鳳站-黎明技術學院","","二段票","Charge for 2 sections"
"16519","16179","三重客運","橘22","O22","157554","橘22(新北市)","O22","10","瓊林","King Lam","捷運新莊站","MRT Zhuang","99","99","0530","0530","2100","2100","","","","","","","","","例假日停駛","","","","","","一段票","1 segments"
"10731","16181","欣欣客運","綠2左","G2Left","158439","綠2左(新北市)","G2Left","10","景美女中","Jingmei Girls’Senior High School","中永和","Yonghe","54","34.2","0600","0600","0000","0000","1215","21:00以後20~30分乙班","1520","","0600","","0000","","","21:00以後20~30分乙班","1520","1520","","","一段票","1 segments"
"10732","16181","欣欣客運","綠2右","G2Right","158436","綠2右(新北市)","G2Right","10","景美女中","Jingmei Girls’Senior High School","中永和","Yonghe","75","33.2","0530","0530","2345","2345","1215","21:00以後20~30分乙班","1520","106年2月10日至106年3月10日封閉中興場站至汽車旅館間道路，影響動線為寶橋路235巷公車站位","0530","0530","2345","2345","","21:00以後20~30分乙班","1520","1520","","","一段票","1 segments"
"10148","16176","臺北客運","702","702","101480","702(新北市)","702","10","三峽","Sanxia","板橋公車站","Banqiao Bus Station","38","56","0530","0530","2130","2130","","","","","0530","0530","2130","2130","","","","","風路坑-山佳 "," Fonlukeng - Shanjia ","二段票","2 segments"
"10148","16176","臺北客運","702","702","101480","702(新北市)","702","10","三峽","Sanxia","板橋公車站","Banqiao Bus Station","38","56","0530","0530","2130","2130","","","","","0530","0530","2130","2130","","","","","風路坑-山佳 "," Fonlukeng - Shanjia ","二段票","2 segments"
"10281","16177","首都客運","藍2","BL2","158434","藍2(新北市)","BL2","10","新莊","Xinzhuang","捷運西門站","MRT Ximen Station","81","27.6","0530","0530","2350","2350","1010","","1515","","0530","0530","2350","2350","","","1520","1520","","","一段票","1 segments"
"16542","16186","淡水客運","879","879","157577","879(新北市)","879","10","馬偕醫學院","Mackay Junior College of Nursing","關渡","Guandu","99","99","0645","0645","1530","1530","","","","三芝發車:  06:45","","","","","例假日停駛","","","","灰瑤子-興化店、淡水情歌-捷運紅樹林站","Huiyaozi-Xinghuadian , Tamsui Qingge-MRT Hongshulin Station","三段票","3 segments"
"16547","16190","基隆客運","808","808","159111","808猴硐(新北市)","808猴硐","10","瑞芳","Juifang","猴硐","Monkey Cave","99","99","0600","0620","2130","2150","","","","","0600","0620","2130","2150","","","","","","","一段票",""
"16547","16190","基隆客運","808","808","157582","808瑞芳(新北市)","808","10","瑞芳","Juifang","猴硐","Monkey Cave","99","99","0600","0620","2130","2150","","","","","0600","0620","2130","2150","","","","","","","一段票",""
"16549","16190","基隆客運","828","828","159043","828法鼓山(新北市)","828back","10","金山醫院","Jinshan Hospital","法鼓山","Dharma Drum Mountain","99","99","0745","0800","0940","0955","","","","","0745","0800","0940","0955","","","","","","","一段票","1 segments"
"16549","16190","基隆客運","828","828","157584","828(新北市)","828","10","金山醫院","Jinshan Hospital","法鼓山","Dharma Drum Mountain","99","99","0745","0800","0940","0955","","","","","0745","0800","0940","0955","","","","","","","一段票","1 segments"
"16554","16190","基隆客運","826","826","158949","826水湳洞(新北市)","826","10","猴硐遊客中心","Monkey Cave","水湳洞","Shueinan hole","99","99","","","","","","","","平日停駛","0900","0900","1800","1700","","","","","","","一段票","1 segments"
"16554","16190","基隆客運","826","826","157589","826猴硐(新北市)","826","10","猴硐遊客中心","Monkey Cave","水湳洞","Shueinan hole","99","99","","","","","","","","平日停駛","0900","0900","1800","1700","","","","","","","一段票","1 segments"
"10195","16176","臺北客運","705","705","101950","705(新北市)","705","10","三峽","Sanxia","西門","Ximen","74","54","0500","0500","2200","2200","0710","","1015","","0500","0500","2200","2200","","","1520","2030","","","一段票","2 segments"
"10491","16179","三重客運","637","637","104910","637(新北市)","637","10","五股","wugu","臺北","taipei","73","32","0520","0520","2235","2235","1215","","1520","","0520","0520","2235","2235","","","1520","1520","捷運丹鳳站-五谷王廟","MRT Danfeng Station-Wuguwang Temple","二段票","Charge for 2 sections"
"10151","16176","臺北客運","701","701","101510","701(新北市)","701","10","迴龍","Huilong","西門","Ximen","75","45.5","0530","0530","2220","2220","1215","","1520","","0530","0530","2220","2220","","","1520","1520","北門街-捷運龍山寺站","Beimen St. - MRT Longshan Temple Station","兩段票","2 segments"
"10772","16181","欣欣客運","249","249","158435","249(新北市)","249","10","華夏科技大學","Hwaxia Institute","臺北車站","Taipei Main Station","70","22.8","0530","0530","2310","2310","1215","21:00時以後每20~30分乙班次","1520","","0540","0540","2310","2310","","21:00時以後每20~30分乙班次","1520","1520","去程: 智光商職-自強市場 回程: 崁頂(中華路)-智光商職","Chih-Kuang Senior Commercial & Industrial Vocational High School-ZiQiang Market","二段票","Charge for 2 sections"
"15181","16185","指南客運","248","248","151810","248(新北市)","248","10","錦繡","Jinxiu","民生社區","Minsheng Community","99","99","0630","0630","1630","1630","","例假日停駛","","","","","","","","","","","金山泰安路口-南京新生北路口","Jinshan & Taian Intersection- Nanjing &Xinsheng Intersection","二段票","2 segments"
"16526","16186","淡水客運","869","869","157561","869(新北市)","869","10","高爾夫球山莊","Golf Villa","捷運淡水站","MRT Station","99","99","0900","0900","0900","0900","","","","","0900","0900","0900","0900","","","","","","","一段票","1 segments"
